title;place;date;center;lat;lang
Concert innaugural del curs amb la participació de l'orquestra i la Banda de GP i els cors de M6 i GP;Conservatori de Tarargona;5, 6, 9, 10,14 i 16 de setembre;ECM Tarragona;41.11781265862017;1.2556017190217974
Concert innaugural del curs amb la participació de l'orquestra i la Banda de GP i els cors de M6 i GP;Teatre de Tarragona;5, 6, 9, 10,14 i 16 de setembre;ECM Tarragona;41.1143339894775;1.2557391822338104
Concert innaugural del curs amb la participació de l'orquestra i la Banda de GP i els cors de M6 i GP;Auditori de la Diputació;5, 6, 9, 10,14 i 16 de setembre;ECM Tarragona;41.11808140668262;1.2451156228780749
Assistència de l'alumnat al concert d'Àngel Òrdena;Teatre de Tarragona;9 d'octubre;ECM Tarragona;41.1143339894775;1.2557391822338104
Concert al teatre de Tarragona amb la Frans Schubert;Teatre de Tarragona;22 d'octubre;ECM Tarragona;41.1143339894775;1.2557391822338104
"Assistència de l'alumnat al ""Dalí Challenge""";Reial Cercle Artístic de Barcelona;26 d'octubre;ECM Tarragona;41.3874;2.1686
Assistència al concert de quartet de trombons Mediterranian Slides Quartet;Teatre de Tarragona;19 de novembre;ECM Tarragona;41.1143339894775;1.2557391822338104
Concert de tardor per Santa Cecília;Pl. dels Sedassos;20 de novembre ;ECM Tarragona;;
Visita exposició MateMiFaSol;Cosmocaixa Baracelona;22 de novembre;ECM Tarragona;41.3874;2.1686
"Assistència al concert de l'OBC ""Primera Simfonia de Mahler""";Auditori de Barcelona;30 de novembre;ECM Tarragona;41.3874;2.1686
Concurs Xavier Gols;Conservatori de Tarragona;"18 i 22 de novembre; 21 de març";ECM Tarragona;41.11781265862017;1.2451156228780749
Concurs Xavier Gols;Auditori de la Diputació a Tarragona;"18 i 22 de novembre; 21 de març";ECM Tarragona;41.11808140668262;1.2451156228780749
"Projecte del centre ""El Somni de Petra""";Conservatori de Tarragona;4,5,6,12 i 13 de març de 2024;ECM Tarragona;41.11781265862017;1.2451156228780749
Concert de Nadal - Conjunt de guitarres;Auditori de la Diputació;11 de desembre;ECM Tarragona;41.11808140668262;1.2451156228780749
Concert Banda Nivell Elemental i Banda;Auditori de la Diputació;11 de desembre;ECM Tarragona;41.11808140668262;1.2451156228780749
